epoch,total_of_lines,prct_of_run,time_between_epoch,time_from_start,epoch_size
1.0,500000,0.013678614014982077,5.33301568031311,5.33301568031311,500000
2.0,1000000,0.027357228029964153,4.9328649044036865,10.281597137451172,500000
3.0,1500000,0.04103584204494623,5.219173431396484,15.500770568847656,500000
4.0,2000000,0.05471445605992831,7.219336748123169,22.723117351531982,500000
5.0,2500000,0.06839307007491038,6.24225378036499,28.965371131896973,500000
6.0,3000000,0.08207168408989246,6.571039438247681,35.54494071006775,500000
7.0,3500000,0.09575029810487454,4.152832269668579,39.708792209625244,500000
8.0,4000000,0.10942891211985661,4.714921951293945,44.4393630027771,500000
9.0,4500000,0.12310752613483869,4.073694467544556,48.513057470321655,500000
10.0,5000000,0.13678614014982077,4.091973543167114,52.60503101348877,500000
11.0,5500000,0.15046475416480284,4.63123345375061,57.23626446723938,500000
12.0,6000000,0.16414336817978492,5.713921546936035,62.95118498802185,500000
13.0,6500000,0.177821982194767,5.06123423576355,68.01435136795044,500000
14.0,7000000,0.19150059620974907,4.574270963668823,72.60427117347717,500000
15.0,7500000,0.20517921022473115,6.312317848205566,78.91658902168274,500000
16.0,8000000,0.21885782423971323,6.079798221588135,84.99983882904053,500000
17.0,8500000,0.2325364382546953,4.0451014041900635,89.04494023323059,500000
18.0,9000000,0.24621505226967738,4.433481693267822,93.47842192649841,500000
19.0,9500000,0.25989366628465943,6.5742104053497314,100.06822109222412,500000
20.0,10000000,0.27357228029964153,9.52226185798645,109.59048295021057,500000
21.0,10500000,0.2872508943146236,5.5902018547058105,115.19632816314697,500000
22.0,11000000,0.3009295083296057,10.946325302124023,126.142653465271,500000
23.0,11500000,0.31460812234458774,8.102222204208374,134.24487566947937,500000
24.0,12000000,0.32828673635956984,6.323134899139404,140.58353924751282,500000
25.0,12500000,0.3419653503745519,5.59551215171814,146.17905139923096,500000
26.0,13000000,0.355643964389534,6.695003271102905,152.87405467033386,500000
27.0,13500000,0.36932257840451604,11.13723611831665,164.01920580863953,500000
28.0,14000000,0.38300119241949815,5.728393793106079,169.74981045722961,500000
29.0,14500000,0.3966798064344802,4.630621671676636,174.38043212890625,500000
30.0,15000000,0.4103584204494623,8.47663426399231,182.85706639289856,500000
31.0,15500000,0.42403703446444435,5.785397529602051,188.6424639225006,500000
32.0,16000000,0.43771564847942646,4.6497509479522705,193.29221487045288,500000
33.0,16500000,0.4513942624944085,4.515483617782593,197.80769848823547,500000
34.0,17000000,0.4650728765093906,4.462157964706421,202.2698564529419,500000
35.0,17500000,0.47875149052437266,5.667693376541138,207.93754982948303,500000
36.0,18000000,0.49243010453935476,4.731489896774292,212.66903972625732,500000
37.0,18500000,0.5061087185543368,4.580299377441406,217.24933910369873,500000
38.0,19000000,0.5197873325693189,4.318620443344116,221.56795954704285,500000
39.0,19500000,0.533465946584301,4.627784252166748,226.1957437992096,500000
40.0,20000000,0.5471445605992831,4.202658414840698,230.3984022140503,500000
41.0,20500000,0.5608231746142651,4.030654430389404,234.4290566444397,500000
42.0,21000000,0.5745017886292472,4.670001983642578,239.101313829422,500000
43.0,21500000,0.5881804026442293,4.088706970214844,243.20616102218628,500000
44.0,22000000,0.6018590166592114,11.980294466018677,255.2051558494568,500000
45.0,22500000,0.6155376306741934,5.474948883056641,260.6957485675812,500000
46.0,23000000,0.6292162446891755,5.9644410610198975,266.6601896286011,500000
47.0,23500000,0.6428948587041576,5.613157510757446,272.2733471393585,500000
48.0,24000000,0.6565734727191397,4.736181259155273,277.0095283985138,500000
49.0,24500000,0.6702520867341217,3.8024628162384033,280.8119912147522,500000
50.0,25000000,0.6839307007491038,3.160928249359131,283.97512793540955,500000
51.0,25500000,0.6976093147640859,3.9418797492980957,287.92802596092224,500000
52.0,26000000,0.711287928779068,3.993640661239624,291.9371819496155,500000
53.0,26500000,0.72496654279405,3.952707290649414,295.8898892402649,500000
54.0,27000000,0.7386451568090321,4.197917938232422,300.0878071784973,500000
55.0,27500000,0.7523237708240142,4.165987730026245,304.25379490852356,500000
56.0,28000000,0.7660023848389963,3.8645880222320557,308.1339178085327,500000
57.0,28500000,0.7796809988539783,3.9423625469207764,312.07900500297546,500000
58.0,29000000,0.7933596128689604,4.023591995239258,316.1025969982147,500000
59.0,29500000,0.8070382268839426,3.94714617729187,320.0497431755066,500000
60.0,30000000,0.8207168408989246,3.7460200786590576,323.79576325416565,500000
61.0,30500000,0.8343954549139067,3.7799830436706543,327.5757462978363,500000
62.0,31000000,0.8480740689288887,4.312708377838135,331.9041094779968,500000
63.0,31500000,0.8617526829438709,4.081235647201538,335.98534512519836,500000
64.0,32000000,0.8754312969588529,3.8104407787323,339.79578590393066,500000
65.0,32500000,0.889109910973835,3.669219732284546,343.4650056362152,500000
66.0,33000000,0.902788524988817,3.7879014015197754,347.252907037735,500000
67.0,33500000,0.9164671390037992,3.7209877967834473,350.97389483451843,500000
68.0,34000000,0.9301457530187812,3.8373987674713135,354.81129360198975,500000
69.0,34500000,0.9438243670337633,3.9087491035461426,358.7305669784546,500000
70.0,35000000,0.9575029810487453,3.380596399307251,362.1171851158142,500000
71.0,35500000,0.9711815950637275,3.835761070251465,365.9529461860657,500000
72.0,36000000,0.9848602090787095,3.282467842102051,369.2354140281677,500000
73.0,36500000,0.9985388230936916,4.051538467407227,373.28695249557495,500000
