Open time,Open,High,Low,Close
1503042527000,4304.67,4304.67,4304.67,4304.67
1503042528000,4304.67,4304.67,4304.67,4304.67
1503042529000,4304.67,4304.67,4304.67,4304.67
1503042530000,4304.67,4304.67,4304.67,4304.67
1503042531000,4304.67,4304.67,4304.67,4304.67
1503042532000,4304.67,4304.67,4304.67,4304.67
1503042533000,4304.67,4304.67,4304.67,4304.67
1503042534000,4304.67,4304.67,4304.67,4304.67
1503042535000,4304.67,4304.67,4304.67,4304.67
1503042536000,4304.67,4304.67,4304.67,4304.67
1503042537000,4304.67,4304.67,4304.67,4304.67
1503042538000,4304.67,4304.67,4304.67,4304.67
1503042539000,4304.67,4304.67,4304.67,4304.67
1503042540000,4304.67,4304.67,4304.67,4304.67
1503042541000,4304.67,4304.67,4304.67,4304.67
1503042542000,4304.67,4304.67,4304.67,4304.67
1503042543000,4304.67,4304.67,4304.67,4304.67
1503042544000,4304.67,4304.67,4304.67,4304.67
1503042545000,4304.67,4304.67,4304.67,4304.67
1503042546000,4304.67,4304.67,4304.67,4304.67
1503042547000,4304.67,4304.67,4304.67,4304.67
1503042548000,4304.67,4304.67,4304.67,4304.67
1503042549000,4304.67,4304.67,4304.67,4304.67
1503042550000,4304.67,4304.67,4304.67,4304.67
1503042551000,4304.67,4304.67,4304.67,4304.67
1503042552000,4304.67,4304.67,4304.67,4304.67
1503042553000,4304.67,4304.67,4304.67,4304.67
1503042554000,4304.67,4304.67,4304.67,4304.67
1503042555000,4304.67,4304.67,4304.67,4304.67
1503042556000,4304.67,4304.67,4304.67,4304.67
1503042557000,4304.67,4304.67,4304.67,4304.67
1503042558000,4304.67,4304.67,4304.67,4304.67
1503042559000,4304.67,4304.67,4304.67,4304.67
1503042560000,4304.67,4304.67,4304.67,4304.67
1503042561000,4304.67,4304.67,4304.67,4304.67
1503042562000,4304.67,4304.67,4304.67,4304.67
1503042563000,4304.67,4304.67,4304.67,4304.67
1503042564000,4304.67,4304.67,4304.67,4304.67
1503042565000,4304.67,4304.67,4304.67,4304.67
1503042566000,4304.67,4304.67,4304.67,4304.67
1503042567000,4304.67,4304.67,4304.67,4304.67
1503042568000,4304.67,4304.67,4304.67,4304.67
1503042569000,4304.67,4304.67,4304.67,4304.67
1503042570000,4304.67,4304.67,4304.67,4304.67
1503042571000,4304.67,4304.67,4304.67,4304.67
1503042572000,4304.67,4304.67,4304.67,4304.67
1503042573000,4304.67,4304.67,4304.67,4304.67
1503042574000,4304.67,4304.67,4304.67,4304.67
1503042575000,4304.67,4304.67,4304.67,4304.67
1503042576000,4304.67,4304.67,4304.67,4304.67
1503042577000,4304.67,4304.67,4304.67,4304.67
1503042578000,4304.67,4304.67,4304.67,4304.67
1503042579000,4304.67,4304.67,4304.67,4304.67
1503042580000,4304.67,4304.67,4304.67,4304.67
1503042581000,4304.67,4304.67,4304.67,4304.67
1503042582000,4304.67,4304.67,4304.67,4304.67
1503042583000,4304.67,4304.67,4304.67,4304.67
1503042584000,4304.67,4304.67,4304.67,4304.67
1503042585000,4304.67,4304.67,4304.67,4304.67
1503042586000,4304.67,4304.67,4304.67,4304.67
1503042587000,4304.67,4304.67,4304.67,4304.67
1503042588000,4304.67,4304.67,4304.67,4304.67
1503042589000,4304.67,4304.67,4304.67,4304.67
1503042590000,4304.67,4304.67,4304.67,4304.67
1503042591000,4304.67,4304.67,4304.67,4304.67
1503042592000,4304.67,4304.67,4304.67,4304.67
1503042593000,4304.67,4304.67,4304.67,4304.67
1503042594000,4304.67,4304.67,4304.67,4304.67
1503042595000,4304.67,4304.67,4304.67,4304.67
1503042596000,4304.67,4304.67,4304.67,4304.67
1503042597000,4304.67,4304.67,4304.67,4304.67
1503042598000,4304.67,4304.67,4304.67,4304.67
1503042599000,4304.67,4304.67,4304.67,4304.67
1503042600000,4304.67,4304.67,4304.67,4304.67
1503042601000,4304.67,4304.67,4304.67,4304.67
1503042602000,4304.67,4304.67,4304.67,4304.67
